cell_x,cell_y,cell_idx,avg_delta_P,n
0,0,0,-0.071838,5
1,0,1,0.006856,39
2,0,2,0.008991,82
3,0,3,0.012669,236
4,0,4,0.004421,185
5,0,5,0.013860,20
0,1,6,0.018328,319
1,1,7,0.007085,446
2,1,8,-0.008523,413
3,1,9,-0.001469,347
4,1,10,-0.009707,621
5,1,11,0.011828,655
0,2,12,-0.004045,497
1,2,13,0.002271,730
2,2,14,0.003655,723
3,2,15,0.008198,739
4,2,16,0.009234,800
5,2,17,0.001118,597
0,3,18,0.010918,343
1,3,19,-0.016693,506
2,3,20,-0.023680,730
3,3,21,-0.001499,532
4,3,22,-0.000844,567
5,3,23,-0.011762,541
0,4,24,0.010915,197
1,4,25,-0.002139,466
2,4,26,-0.005005,499
3,4,27,0.007319,605
4,4,28,0.002599,374
5,4,29,-0.011051,260
0,5,30,0.000000,0
1,5,31,0.020316,51
2,5,32,0.009707,103
3,5,33,0.010496,113
4,5,34,0.000000,0
5,5,35,0.000000,0
