cell_x,cell_y,cell_idx,avg_delta_P,n
0,0,0,-0.091868,10
1,0,1,-0.005391,170
2,0,2,0.001123,398
3,0,3,0.025058,567
4,0,4,0.003500,167
5,0,5,0.000000,0
0,1,6,0.037540,212
1,1,7,-0.005040,506
2,1,8,-0.010766,621
3,1,9,0.013713,493
4,1,10,-0.012158,497
5,1,11,0.005407,73
0,2,12,0.011564,481
1,2,13,0.009720,219
2,2,14,-0.001835,563
3,2,15,0.008067,452
4,2,16,0.000365,379
5,2,17,0.012319,301
0,3,18,0.009507,392
1,3,19,-0.023478,324
2,3,20,-0.017276,540
3,3,21,0.000238,660
4,3,22,-0.008952,447
5,3,23,-0.007551,305
0,4,24,0.006225,153
1,4,25,-0.010593,500
2,4,26,-0.015405,496
3,4,27,0.003834,705
4,4,28,0.000046,501
5,4,29,-0.010139,247
0,5,30,-0.053157,21
1,5,31,0.044861,187
2,5,32,-0.003847,470
3,5,33,0.011641,449
4,5,34,0.008155,247
5,5,35,0.027601,110
