cell_x,cell_y,cell_idx,avg_delta_P,n
0,0,0,0.000000,0
1,0,1,-0.006920,191
2,0,2,0.004844,241
3,0,3,0.019489,632
4,0,4,0.023009,454
5,0,5,0.045001,11
0,1,6,0.029671,111
1,1,7,-0.007530,312
2,1,8,-0.006617,583
3,1,9,0.002817,692
4,1,10,-0.021176,618
5,1,11,0.020404,254
0,2,12,0.007778,213
1,2,13,-0.006025,535
2,2,14,-0.005364,639
3,2,15,0.003675,652
4,2,16,0.009185,662
5,2,17,0.004502,242
0,3,18,-0.000024,167
1,3,19,-0.014365,659
2,3,20,-0.015672,648
3,3,21,-0.000041,562
4,3,22,-0.015612,414
5,3,23,-0.014999,133
0,4,24,-0.005296,25
1,4,25,0.000337,584
2,4,26,-0.007472,624
3,4,27,0.005183,665
4,4,28,0.005411,358
5,4,29,-0.012225,66
0,5,30,0.000000,0
1,5,31,0.046570,82
2,5,32,0.009958,576
3,5,33,0.010627,526
4,5,34,0.013450,158
5,5,35,-0.000956,27
