cell_x,cell_y,cell_idx,avg_delta_P,n
0,0,0,0.000000,0
1,0,1,0.002967,164
2,0,2,0.002768,241
3,0,3,0.004590,349
4,0,4,0.005945,37
5,0,5,0.000000,0
0,1,6,0.021348,205
1,1,7,-0.007647,556
2,1,8,-0.002347,519
3,1,9,0.006862,369
4,1,10,-0.005527,690
5,1,11,0.019272,286
0,2,12,0.007047,544
1,2,13,0.002446,446
2,2,14,0.000277,631
3,2,15,0.003639,730
4,2,16,0.001221,605
5,2,17,0.007112,635
0,3,18,-0.004573,475
1,3,19,-0.005423,120
2,3,20,-0.020015,474
3,3,21,0.003003,639
4,3,22,-0.002730,373
5,3,23,-0.009877,518
0,4,24,-0.001753,385
1,4,25,-0.009565,423
2,4,26,-0.003323,661
3,4,27,0.008245,663
4,4,28,0.008782,300
5,4,29,-0.006851,129
0,5,30,-0.033691,16
1,5,31,0.027051,218
2,5,32,0.001957,204
3,5,33,0.006775,152
4,5,34,0.007024,29
5,5,35,0.000000,0
