cell_x,cell_y,cell_idx,avg_delta_P,n
0,0,0,-0.009160,6
1,0,1,0.000775,28
2,0,2,0.002436,176
3,0,3,0.011272,358
4,0,4,0.015267,225
5,0,5,0.044052,2
0,1,6,0.022676,210
1,1,7,0.001566,575
2,1,8,-0.005841,703
3,1,9,0.001592,462
4,1,10,-0.008850,376
5,1,11,0.013995,241
0,2,12,0.003461,605
1,2,13,-0.000015,668
2,2,14,0.006746,651
3,2,15,0.006635,676
4,2,16,-0.000838,625
5,2,17,0.007221,375
0,3,18,-0.005163,349
1,3,19,-0.012554,409
2,3,20,-0.017695,580
3,3,21,0.006583,639
4,3,22,-0.011415,542
5,3,23,-0.008180,364
0,4,24,0.003692,167
1,4,25,0.000253,643
2,4,26,-0.009752,636
3,4,27,-0.001021,669
4,4,28,0.006873,383
5,4,29,-0.017699,167
0,5,30,0.000000,0
1,5,31,0.018918,140
2,5,32,-0.004586,464
3,5,33,0.005508,403
4,5,34,0.011498,267
5,5,35,0.040311,47
