cell_x,cell_y,cell_idx,avg_delta_P,n
0,0,0,0.000000,0
1,0,1,0.005704,300
2,0,2,0.010325,677
3,0,3,0.017270,625
4,0,4,0.016477,263
5,0,5,0.000000,0
0,1,6,0.019952,148
1,1,7,0.008338,587
2,1,8,-0.008387,789
3,1,9,0.007744,616
4,1,10,-0.007633,421
5,1,11,0.004756,16
0,2,12,0.010893,417
1,2,13,0.002039,395
2,2,14,-0.002207,415
3,2,15,0.006556,534
4,2,16,0.006357,401
5,2,17,-0.000135,49
0,3,18,-0.005369,280
1,3,19,-0.008615,472
2,3,20,-0.021898,446
3,3,21,0.001761,597
4,3,22,0.000510,201
5,3,23,-0.009820,192
0,4,24,-0.009346,55
1,4,25,-0.005771,610
2,4,26,-0.017686,458
3,4,27,-0.004726,828
4,4,28,-0.002377,412
5,4,29,-0.002036,217
0,5,30,0.000000,0
1,5,31,0.039564,47
2,5,32,-0.004374,607
3,5,33,0.007427,686
4,5,34,0.003346,350
5,5,35,0.002110,98
