cell_x,cell_y,cell_idx,avg_delta_P,n
0,0,0,0.000000,0
1,0,1,-0.007960,367
2,0,2,0.000250,620
3,0,3,0.014160,566
4,0,4,0.014166,273
5,0,5,0.000000,0
0,1,6,0.021778,137
1,1,7,-0.000653,650
2,1,8,-0.012323,602
3,1,9,0.005753,657
4,1,10,-0.006714,534
5,1,11,-0.018813,71
0,2,12,0.007235,410
1,2,13,0.005572,357
2,2,14,0.001967,528
3,2,15,0.006019,580
4,2,16,0.012709,631
5,2,17,0.033569,150
0,3,18,-0.000533,165
1,3,19,-0.011659,358
2,3,20,-0.013949,501
3,3,21,0.004583,571
4,3,22,-0.015890,235
5,3,23,-0.008922,468
0,4,24,0.007017,38
1,4,25,-0.008219,399
2,4,26,-0.006551,498
3,4,27,0.002566,788
4,4,28,0.005880,351
5,4,29,-0.014026,302
0,5,30,0.000000,0
1,5,31,0.015540,43
2,5,32,0.002413,451
3,5,33,0.008144,625
4,5,34,0.004036,502
5,5,35,-0.000974,112
