cell_x,cell_y,cell_idx,avg_delta_P,n
0,0,0,0.000000,0
1,0,1,-0.001254,229
2,0,2,0.009445,327
3,0,3,0.009180,457
4,0,4,0.027901,229
5,0,5,0.062133,13
0,1,6,0.053292,374
1,1,7,0.004506,629
2,1,8,-0.007420,632
3,1,9,0.013650,637
4,1,10,-0.009760,543
5,1,11,0.027339,389
0,2,12,0.000386,642
1,2,13,0.004567,540
2,2,14,-0.010818,682
3,2,15,0.004573,851
4,2,16,0.007983,531
5,2,17,0.009249,426
0,3,18,-0.007141,511
1,3,19,-0.015493,441
2,3,20,-0.021589,601
3,3,21,0.001196,605
4,3,22,-0.012825,353
5,3,23,0.004836,521
0,4,24,0.011172,177
1,4,25,-0.007188,614
2,4,26,-0.001561,521
3,4,27,-0.005851,576
4,4,28,-0.012713,529
5,4,29,-0.026312,363
0,5,30,-0.030502,23
1,5,31,0.052098,211
2,5,32,-0.014469,326
3,5,33,0.010422,394
4,5,34,-0.010638,169
5,5,35,0.008795,23
