cell_x,cell_y,cell_idx,avg_delta_P,n
0,0,0,0.000000,0
1,0,1,-0.004113,30
2,0,2,0.016454,398
3,0,3,0.020141,590
4,0,4,0.012062,222
5,0,5,0.000000,0
0,1,6,0.024134,87
1,1,7,-0.006601,416
2,1,8,-0.010226,722
3,1,9,0.014608,650
4,1,10,-0.018457,554
5,1,11,0.023459,100
0,2,12,0.006801,280
1,2,13,-0.004278,499
2,2,14,0.002176,574
3,2,15,0.014982,682
4,2,16,0.000451,568
5,2,17,0.008578,238
0,3,18,-0.018219,149
1,3,19,-0.021014,468
2,3,20,-0.027898,721
3,3,21,0.008260,541
4,3,22,-0.014099,561
5,3,23,-0.002468,184
0,4,24,-0.002017,146
1,4,25,-0.007858,331
2,4,26,-0.015245,826
3,4,27,0.010870,809
4,4,28,0.003439,447
5,4,29,-0.053117,59
0,5,30,0.000000,0
1,5,31,0.000000,0
2,5,32,0.013182,151
3,5,33,0.028814,592
4,5,34,0.000472,271
5,5,35,0.025851,27
