cell_x,cell_y,cell_idx,avg_delta_P,n
0,0,0,-0.079128,22
1,0,1,0.053607,28
2,0,2,0.015613,248
3,0,3,0.006865,324
4,0,4,0.004393,136
5,0,5,0.000000,0
0,1,6,0.029474,297
1,1,7,-0.002035,466
2,1,8,-0.005316,587
3,1,9,0.015051,359
4,1,10,-0.011249,620
5,1,11,0.007920,388
0,2,12,0.004754,429
1,2,13,-0.000327,660
2,2,14,-0.000570,734
3,2,15,0.004748,661
4,2,16,0.005657,777
5,2,17,0.012623,645
0,3,18,0.001103,303
1,3,19,-0.012053,361
2,3,20,-0.019432,665
3,3,21,0.000595,588
4,3,22,-0.014317,595
5,3,23,-0.006286,504
0,4,24,0.003838,232
1,4,25,-0.000625,301
2,4,26,-0.010478,621
3,4,27,0.001613,686
4,4,28,0.011234,414
5,4,29,-0.011955,74
0,5,30,0.000000,0
1,5,31,0.000000,0
2,5,32,-0.007577,137
3,5,33,0.005864,208
4,5,34,0.014129,101
5,5,35,-0.011605,21
